"System";"Site";"Start_Date";"End_Date";"Logger_ID";"Orientation";"Direction";"Vertical_location";"Ch_0";"Ch_7";"Vegetation_cover_edge_ch";"Dominant_veg";"Weather";"Rain";"Moon_phase";"T_ch0_set_C";"T_mid_set_C";"T_ch7_set_C";"DO_ch0_set_AS";"DO_mid_set_AS";"DO_ch7_set_AS";"pH_ch0_set";"pH_mid_set";"pH_ch7_set";"Conductivity_ch0_set_uS";"Conductivity_mid_set_uS";"Conductivity_ch7_set_uS";"Depth_ch0_set_cm";"Depth_mid_set_cm";"Depth_ch7_set_cm";"Turbidity_set_NTU";"T_ch0_retr_C";"T_mid_retr_C";"T_ch7_retr_C";"DO_ch0_retr_AS";"DO_mid_retr_AS";"DO_ch7_retr_AS";"pH_ch0_retr";"pH_mid_retr";"pH_ch7_retr";"Conductivity_ch0_retr_uS";"Conductivity_mid_retr_uS";"Conductivity_ch7_retr_uS";"Depth_ch0_retr_cm";"Depth_mid_retr_cm";"Depth_ch7_retr_cm";"Turbidity_retr_NTU";"t_first_rec_start";"t_last_rec_end";"Recorded_dur_h";"Gain_factor";"Extraction_Threshold";"events_thresh";"BP_FFT_high_cutoff";"GPS_UTM_36M_East";"GPS_UTM_36M_North";"Notes";"t_meas_set";"t_meas_retr"
"PL";"PLP";2023-11-01;2023-11-03;"L3";"Horizontal";"Orthogonal";"Ground";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45231,5091203704;45232,5785532407;25,6663888888434;10;"5.0000000000000001E-3";"0.01";"13kHz";382794;9964774;NA;NA;NA
"PL";"PLP";2023-11-08;2023-11-10;"L3";"Horizontal";"Orthogonal";"Ground";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45238,5060416667;45239,8601967593;32,4997222222737;10;"5.0000000000000001E-3";"0.01";"13kHz";382794;9964774;NA;NA;NA
"PL";"PLP";2023-11-15;2023-11-17;"L3";"Horizontal";"Orthogonal";"Ground";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45245,5548611111;45246,8326273148;30,6663888889016;10;"5.0000000000000001E-3";"0.01";"13kHz";382794;9964774;"Flooded";NA;NA
"PL";"PLP";2023-11-22;2023-11-24;"L3";"Horizontal";"Orthogonal";"Ground";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45252,645625;45253,9928356481;32,3330555555876;10;"5.0000000000000001E-3";"0.01";"13kHz";382794;9964774;"Electrode-holding stick was moved, possibly due to the storm";NA;NA
"PL";"PLP";2023-11-27;2023-11-29;"L3";"Horizontal";"Orthogonal";"Ground";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45257,56875;45258,8812384259;31,4997222223319;10;"5.0000000000000001E-3";"0.01";"13kHz";382794;9964774;NA;NA;NA
"PL";"PLP";2023-10-18;2023-10-20;"L4";"Horizontal";"Orthogonal";"Surface";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;26,3;25;25;4,5;4,9;4,9;3,32;3,45;3,4;9;9;9;40;73;73,5;1,595;22,4;22,4;22,3;4,2;3,5;3,6;3,61;3,59;3,89;10;10;10;46;78,5;77;2,365;45217,540162037;45218,8526851852;31,5005555555108;10;"5.0000000000000001E-3";"0.01";"13kHz";382794;9964774;NA;2023-10-18 14:29:00;2023-10-20 08:56:00
"PL";"PLP";2023-10-25;2023-10-27;"L4";"Horizontal";"Orthogonal";"Surface";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;24,5;24,4;24,8;7,2;5;6,6;3,56;3,52;3,62;8;8;8;71;76;75;1,14;23,5;23,2;23,3;4,5;3,1;3,2;3,75;3,94;4,3;10;9;8;55;77,5;73;0,92;45224,5219560185;45225,5497222222;24,6663888889016;10;"5.0000000000000001E-3";"0.01";"13kHz";382794;9964774;NA;2023-10-25 13:50:20;2023-10-27 09:33:00
"PL";"PLP";2023-11-01;2023-11-03;"L4";"Horizontal";"Orthogonal";"Surface";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;24,9;24,3;24,3;10,8;4,6;6,3;3,48;3,47;3,45;8;8;8;43;80;80;2,635;22,8;22,5;22,4;5,4;3,3;4,6;4,31;4,2;3,95;8;8;8;44;83;80;0,96;45231,5090162037;45232,5429976852;24,8155555556878;10;"5.0000000000000001E-3";"0.01";"13kHz";382794;9964774;"Lost time - corrected via crosscorrelation with L3 file";2023-11-01 13:08:00;2023-11-03 09:16:20
"PL";"PLP";2023-11-08;2023-11-10;"L4";"Horizontal";"Orthogonal";"Surface";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;23,4;23,2;23,1;28,8;21,5;15,9;3,74;3,8;3,94;8;8;8;43;91;86;1,795;23,7;23,6;23,6;11;7,4;7,1;3,71;3,79;3,92;8;9;8;92;91;84;1,97;45238,5087152778;45239,6823263889;28,1666666666279;10;"5.0000000000000001E-3";"0.01";"13kHz";382794;9964774;"Lost time, deleted the same number of files as for logger 3; crosscorr with L3 file, new timestamp: 08/11/2023  12:12:33";2023-11-08 12:38:20;2023-11-10 06:40:40
"PL";"PLP";2023-11-22;2023-11-24;"L4";"Horizontal";"Orthogonal";"Surface";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;26,8;26,7;26,1;65,2;65;35,4;4,03;4,06;4,74;9;9;9;90;100;99;1,315;24,4;24,4;24,5;31,6;25;17,8;4,33;4,33;4,39;9;9;9;107;110;100;1,22;45252,6456597222;45253,9164814815;30,4997222222155;10;"5.0000000000000001E-3";"0.01";"13kHz";382794;9964774;"Electrode-holding stick was moved, possibly due to the storm";2023-11-22 15:32:20;2023-11-24 11:11:40
"PL";"PLP";2023-11-27;2023-11-29;"L4";"Horizontal";"Orthogonal";"Surface";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;27,2;27,1;26,3;57,9;54,9;44,2;4,48;4,46;4,48;9;10;10;112;106;100;1,24;23,4;23,3;23,3;5,6;5,9;4,7;3,22;3,24;3,23;11;10;10;112;108;106;1,7;45257,5703703704;45258,8411921296;30,4997222222155;10;"5.0000000000000001E-3";"0.01";"13kHz";382794;9964774;NA;2023-11-27 13:41:00;2023-11-29 09:23:20
"PL";"PLS";2023-10-25;2023-10-27;"L10";"Horizontal";"Parallel";"Below_surface";"Open";"Cover";NA;NA;NA;NA;NA;24,6;24,6;24,6;14,9;15;15;3,62;3,67;3,64;8;8;7;40;33;30;1,48;25,3;25;24,8;15,1;14,9;14,9;4,42;4,21;3,95;8;9;9;43;26;33;1,735;45224,5324421296;45225,1713425926;15,3336111110402;10;"5.0000000000000001E-3";"0.01";"13kHz";382782;9964814;"Only recorded until 3am";2023-10-25 13:55:00;2023-10-27 09:47:20
"PL";"PLS";2023-11-01;2023-11-03;"L10";"Horizontal";"Parallel";"Below_surface";"Open";"Cover";NA;NA;NA;NA;NA;25,3;25;24,8;17;16,6;16,6;4,08;3,54;3,44;8;8;8;51;36;34;2,24;22,5;22,5;22,6;10,6;10,3;10,2;3,97;3,99;4,08;8;8;8;52;33;33;4,455;45231,5178472222;45232,5873032407;25,6669444443542;10;"5.0000000000000001E-3";"0.01";"13kHz";382782;9964814;NA;2023-11-01 12:59:20;2023-11-03 09:08:00
"PL";"PLS";2023-11-08;2023-11-10;"L10";"Horizontal";"Parallel";"Below_surface";"Open";"Cover";NA;NA;NA;NA;NA;22,9;22,9;22,8;22,8;21,3;21,4;3,77;3,82;3,83;8;8;8;57;44;31;2,225;23,6;23,5;23,5;13,9;12,2;12;3,84;3,52;3,57;8;8;8;67;44;49;7,275;45238,5124074074;45239,8249305556;31,5005555556854;10;"5.0000000000000001E-3";"0.01";"13kHz";382782;9964814;NA;2023-11-08 12:41:40;2023-11-10 09:26:40
"PL";"PLS";2023-11-15;2023-11-17;"L10";"Horizontal";"Parallel";"Below_surface";"Open";"Cover";NA;NA;NA;NA;NA;23,9;23,9;23,8;24,8;24,6;25,1;3,72;3,76;3,79;9;9;9;65;65;63;0,84;22,8;22,8;22,8;24,8;24,6;24,9;4,27;4,37;4,42;9;9;9;77;67;73;1,445;45245,5497222222;45246,8553009259;31,3338888888247;10;"5.0000000000000001E-3";"0.01";"13kHz";382782;9964814;NA;2023-11-15 14:08:00;2023-11-17 10:33:20
"PL";"PLS";2023-11-22;2023-11-24;"L10";"Horizontal";"Parallel";"Below_surface";"Open";"Cover";NA;NA;NA;NA;NA;26,3;26;26;39,4;39,9;40;4,35;4,21;4,21;9;9;9;66;84;89;1,13;25;24,7;24,6;23,5;23,8;23,6;4,61;4,3;3,8;10;10;10;84;98;93;1,935;45252,6318171296;45253,9582407407;31,8341666667257;10;"5.0000000000000001E-3";"0.01";"13kHz";382782;9964814;NA;2023-11-22 15:27:20;2023-11-24 11:01:40
"PL";"PLS";2023-11-27;2023-11-29;"L10";"Horizontal";"Parallel";"Below_surface";"Open";"Cover";NA;NA;NA;NA;NA;26,6;26,5;26,4;35,5;36;36;4,38;4,24;4,2;10;10;10;84;85;82;2,34;23,6;23,6;23,6;7,3;6,9;6,9;3,65;3,79;3,76;11;10;11;79;83;87;1,635;45257,5621643519;45258,8608101852;31,1674999999814;10;"5.0000000000000001E-3";"0.01";"13kHz";382782;9964814;NA;2023-11-27 13:25:20;2023-11-29 09:14:00
"SL";"SLP";2023-10-11;2023-10-13;"L1";"Horizontal";"Orthogonal";"Surface";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;26;NA;NA;38,8;NA;NA;4,31;NA;NA;9;NA;NA;100;NA;NA;1,85;27,4;27,1;26,7;31,6;31,3;28,3;5,17;5,25;4,96;13;12;10;28;76;100;NA;45210,7111574074;45212,1139236111;33,6663888889016;10;"5.0000000000000001E-3";"0.01";"13kHz";382134;9964854;NA;2023-10-11 16:50:00;2023-10-13 12:22:40
"SL";"SLP";2023-10-18;2023-10-20;"L1";"Horizontal";"Orthogonal";"Surface";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;27,6;NA;NA;27,6;NA;NA;4,32;NA;NA;8;NA;NA;91;NA;NA;3,56;23,9;NA;NA;37,7;NA;NA;4,14;NA;NA;8;NA;NA;58;NA;NA;4,3275;45217,5120023148;45218,7619791667;29,9994444444892;10;"5.0000000000000001E-3";"0.01";"13kHz";382134;9964854;NA;2023-10-18 13:40:00;2023-10-20 09:30:00
"SL";"SLP";2023-10-25;2023-10-27;"L1";"Horizontal";"Orthogonal";"Surface";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;27,8;NA;NA;22,2;NA;NA;4,78;NA;NA;9;NA;NA;74;NA;NA;2,3375;27,1;NA;NA;27,1;NA;NA;4,56;NA;NA;8;NA;NA;89;NA;NA;1,9425;45224,5563310185;45225,4452083333;21,3330555555294;10;"5.0000000000000001E-3";"0.01";"13kHz";382134;9964854;NA;2023-10-25 13:30:00;2023-10-27 10:11:00
"SL";"SLP";2023-11-01;2023-11-03;"L1";"Horizontal";"Orthogonal";"Surface";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;25,4;NA;NA;23,5;NA;NA;4,23;NA;NA;8;NA;NA;100;NA;NA;3,4325;22,4;NA;NA;16,4;NA;NA;4,44;NA;NA;8;NA;NA;73,5;NA;NA;2,555;45231,5280439815;45232,5696990741;24,9997222222737;10;"5.0000000000000001E-3";"0.01";"13kHz";382134;9964854;NA;2023-11-01 12:27:00;2023-11-03 09:38:00
"SL";"SLP";2023-11-08;2023-11-10;"L1";"Horizontal";"Orthogonal";"Surface";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;24,8;NA;NA;39,7;NA;NA;4,73;NA;NA;9;NA;NA;96;NA;NA;1,365;23,7;NA;NA;14,9;NA;NA;4,2;NA;NA;8;NA;NA;92;NA;NA;3,635;45238,527962963;45239,8335069444;31,3330555554712;10;"5.0000000000000001E-3";"0.01";"13kHz";382134;9964854;NA;2023-11-08 12:13:00;2023-11-10 09:08:00
"SL";"SLP";2023-11-15;2023-11-17;"L1";"Horizontal";"Orthogonal";"Surface";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;24,2;NA;NA;29,3;NA;NA;4,4;NA;NA;8;NA;NA;121;NA;NA;1,475;23,4;NA;NA;37,8;NA;NA;4,49;NA;NA;11;NA;NA;104;NA;NA;1,58;45245,5827662037;45246,7424884259;27,8333333332557;10;"5.0000000000000001E-3";"0.01";"13kHz";382134;9964854;"Lost time, crosscorr with L2 file, new timestamp: 15/11/2023  13:59:11";2023-11-15 13:30:00;2023-11-17 11:11:00
"SL";"SLP";2023-11-22;2023-11-24;"L1";"Horizontal";"Orthogonal";"Surface";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;28;NA;NA;78,6;NA;NA;5,23;NA;NA;11;NA;NA;106;NA;NA;1,72;24,2;NA;NA;29,9;NA;NA;4,2;NA;NA;11;NA;NA;132;NA;NA;1,715;45252,6803009259;45253,8747337963;28,666388889018;10;"5.0000000000000001E-3";"0.01";"13kHz";382134;9964854;"Logger has surfaced - check light logger data";2023-11-22 16:00:00;2023-11-24 10:30:00
"SL";"SLP";2023-11-27;2023-11-29;"L1";"Horizontal";"Orthogonal";"Surface";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;27,2;NA;NA;38,5;NA;NA;4,64;NA;NA;11;NA;NA;131;NA;NA;1,395;22,7;NA;NA;5,4;NA;NA;3,91;NA;NA;12;NA;NA;129;NA;NA;1,345;45257,5973726852;45258,79875;28,8330555555294;10;"5.0000000000000001E-3";"0.01";"13kHz";382134;9964854;NA;2023-11-27 14:03:00;2023-11-29 09:42:00
"SL";"SLP";2023-10-11;2023-10-13;"L2";"Horizontal";"Orthogonal";"Ground";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45210,6201736111;45211,9465509259;31,8330555555294;10;"5.0000000000000001E-3";"0.01";"13kHz";382134;9964854;"Phase-locking / co-bursting!";NA;NA
"SL";"SLP";2023-10-18;2023-10-20;"L2";"Horizontal";"Orthogonal";"Ground";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45217,5120833333;45218,8384490741;31,8327777776867;10;"5.0000000000000001E-3";"0.01";"13kHz";382134;9964854;NA;NA;NA
"SL";"SLP";2023-10-25;2023-10-27;"L2";"Horizontal";"Orthogonal";"Ground";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45224,5622916667;45225,5484143519;23,6669444444706;10;"5.0000000000000001E-3";"0.01";"13kHz";382134;9964854;NA;NA;NA
"SL";"SLP";2023-11-01;2023-11-03;"L2";"Horizontal";"Orthogonal";"Ground";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45231,529537037;45232,7934375;30,3336111110402;10;"5.0000000000000001E-3";"0.01";"13kHz";382134;9964854;NA;NA;NA
"SL";"SLP";2023-11-08;2023-11-10;"L2";"Horizontal";"Orthogonal";"Ground";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45238,5283333333;45240,0978009259;37,6672222221969;10;"5.0000000000000001E-3";"0.01";"13kHz";382134;9964854;NA;NA;NA
"SL";"SLP";2023-11-15;2023-11-17;"L2";"Horizontal";"Orthogonal";"Ground";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;23,7;NA;NA;9,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23,1;NA;NA;5,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45245,5823032407;45247,1517708333;37,6672222221969;10;"5.0000000000000001E-3";"0.01";"13kHz";382134;9964854;NA;2023-11-15 13:31:00;2023-11-17 11:19:00
"SL";"SLP";2023-11-22;2023-11-24;"L2";"Horizontal";"Orthogonal";"Ground";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;25,5;NA;NA;7,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23,9;NA;NA;8,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45252,6734027778;45253,9859259259;31,5005555555108;10;"5.0000000000000001E-3";"0.01";"13kHz";382134;9964854;NA;2023-11-22 16:01:00;2023-11-24 10:31:00
