"System";"Site";"Start_Date";"End_Date";"Logger_ID";"Orientation";"Direction";"Vertical_location";"Ch_0";"Ch_7";"Vegetation_cover_edge_ch";"Dominant_veg";"Weather";"Rain";"Moon_phase";"T_ch0_set_C";"T_mid_set_C";"T_ch7_set_C";"DO_ch0_set_AS";"DO_mid_set_AS";"DO_ch7_set_AS";"pH_ch0_set";"pH_mid_set";"pH_ch7_set";"Conductivity_ch0_set_uS";"Conductivity_mid_set_uS";"Conductivity_ch7_set_uS";"Depth_ch0_set_cm";"Depth_mid_set_cm";"Depth_ch7_set_cm";"Turbidity_set_NTU";"T_ch0_retr_C";"T_mid_retr_C";"T_ch7_retr_C";"DO_ch0_retr_AS";"DO_mid_retr_AS";"DO_ch7_retr_AS";"pH_ch0_retr";"pH_mid_retr";"pH_ch7_retr";"Conductivity_ch0_retr_uS";"Conductivity_mid_retr_uS";"Conductivity_ch7_retr_uS";"Depth_ch0_retr_cm";"Depth_mid_retr_cm";"Depth_ch7_retr_cm";"Turbidity_retr_NTU";"t_first_rec_start";"t_last_rec_end";"Recorded_dur_h";"Gain_factor";"Extraction_Threshold";"events_thresh";"BP_FFT_high_cutoff";"GPS_UTM_36M_East";"GPS_UTM_36M_North";"Notes";"t_meas_set";"t_meas_retr"
"JR";"JR1";2023-10-23;2023-10-25;"L6";"Horizontal";"Parallel";"Middle";"Shore";"Open";NA;"Papyrus, Grass";NA;NA;NA;22,4;22,3;22,3;77,3;76,8;76,6;4,84;4,88;4,83;20;21;21;99;95;119;NA;21,4;21,5;21,5;58,8;60,9;60;4,68;4,64;4,63;22;22;22;45;93;74;NA;45222,4202662037;45222,5938541667;4,16611111111706;10;"5.0000000000000001E-3";"0.01";"13kHz";374592;9959763;NA;2023-10-23 10:05:00;2023-10-25 09:06:40
"JR";"JR1";2023-10-30;2023-11-01;"L6";"Horizontal";"Parallel";"Middle";"Shore";"Open";NA;"Papyrus, Grass";NA;NA;NA;22,5;22,4;22,4;74,2;72,9;73,5;4,66;4,67;4,74;22;22;22;120;106;138;NA;21,2;21,2;21,2;74,9;74;76,2;4,83;4,76;4,76;20;20;20;99;102;131;NA;45229,4475694444;45230,4684027778;24,5000000000582;10;"5.0000000000000001E-3";"0.01";"13kHz";374592;9959763;"Lost time, correlated with L5 file, new first timestamp: 30/10/2023  10:44:30";2023-10-30 10:48:00;2023-11-01 09:16:00
"JR";"JR1";2023-11-06;2023-11-08;"L6";"Horizontal";"Parallel";"Middle";"Shore";"Open";NA;"Papyrus, Grass";NA;NA;NA;23,3;23,1;23;78,1;78,4;79,9;4,78;4,91;5,1;19;19;19;114;109;89;NA;21,2;21,1;21;58,6;59,7;59,7;4,87;4,91;4,96;21;21;21;132;128;144;NA;45236,4677314815;45237,7316203704;30,3333333333721;10;"5.0000000000000001E-3";"0.01";"13kHz";374592;9959763;"Lost time, correlated with L5 file, new first timestamp: 06/11/2023  11:13:32";2023-11-06 11:13:00;2023-11-08 09:29:40
"JR";"JR1";2023-11-13;2023-11-15;"L6";"Horizontal";"Parallel";"Middle";"Shore";"Open";NA;"Papyrus, Grass";NA;NA;NA;22,5;22,2;22;60,3;60,4;60,8;5,46;5,38;4,87;23;22;22;125;164;110;NA;22,4;22,4;22,3;59,7;60,2;59,7;4,7;4,71;4,73;18;18;18;147;174;170;NA;45243,4777777778;45244,7555324074;30,6661111110589;10;"5.0000000000000001E-3";"0.01";"13kHz";374592;9959763;NA;2023-11-13 11:18:40;2023-11-15 09:53:00
"JR";"JR1";2023-11-20;2023-11-22;"L6";"Horizontal";"Parallel";"Middle";"Shore";"Open";NA;"Papyrus, Grass";NA;NA;NA;24,5;23,6;23,4;74,4;70,7;74,3;5,83;5,01;4,66;20;21;21;81;144;116;NA;23,1;23,1;23,1;66,1;67,1;65,6;4,65;4,67;4,68;19;20;20;189;152;175;NA;45250,5026967593;45251,7387847222;29,6661111111171;10;"5.0000000000000001E-3";"0.01";"13kHz";374592;9959763;NA;2023-11-20 12:03:00;2023-11-22 11:16:20
"JR";"JR1";2023-11-25;2023-11-27;"L6";"Horizontal";"Parallel";"Middle";"Shore";"Open";NA;"Papyrus, Grass";NA;NA;NA;22,9;22,9;22,9;58,1;57,6;57,5;4,43;4,61;5,2;19;20;21;174;163;155;NA;22,3;22,3;22,3;61,7;62,4;61,2;4,26;4,28;4,29;20;20;20;178;168;149;NA;45255,4375925926;45256,6945138889;30,1661111111753;10;"5.0000000000000001E-3";"0.01";"13kHz";374592;9959763;NA;2023-11-25 10:27:00;2023-11-27 09:44:20
"JR";"JR2";2023-11-25;2023-11-27;"L12";"Horizontal";"Parallel";"Middle";"Shore";"Open";NA;"Papyrus, Grass";NA;NA;NA;23,5;23,2;23,1;59,8;61,2;61,5;5,68;5,42;4,84;20;20;20;41;57;65;NA;22,7;22,5;22,5;63,1;64,1;64,4;5,26;4,85;4,57;21;20;19;45;63;75;NA;45255,4532291667;45257,0226851852;37,6669444443542;10;"5.0000000000000001E-3";"0.01";"13kHz";374591;9959822;NA;2023-11-25 10:43:40;2023-11-27 09:58:40
"LN";"LN13";2023-11-20;2023-11-22;"L12";"Horizontal";"Orthogonal";"Below_surface";"Shore";"Open";NA;NA;NA;NA;NA;28,9;28,2;27,1;93,6;92,4;95,7;6,12;5,64;5,48;19;19;19;200;200;200;NA;24,7;24,8;24,7;81,1;83,6;86,4;6,55;6,26;6,04;19;19;19;200;200;200;NA;45250,4771643519;45252,0674421296;38,1666666665697;100;"0.02";"0.02";"13kHz";378278;9957271;NA;2023-11-20 11:22:00;2023-11-22 10:35:40
"LN";"LN1";2023-10-09;2023-10-11;"L7";"Horizontal";"Orthogonal";"Below_surface";"Shore";"Open";0;"Papyrus";NA;NA;NA;27,8;28,9;29,3;94,7;95,2;97,7;5,3;4,9;4,8;22;22;22;58;75;106;NA;25,2;25;24,6;56,5;61,1;62,1;5,38;4,92;4,96;23;22;23;57;84;85;NA;45208,4781828704;45209,7420949074;30,3338888888829;100;"0.02";"0.02 + 0.04";"13kHz";373860;9959143;"High cutoff 13kHz -> Noise detected, clean up events";2023-10-09 11:15:00;2023-10-11 09:50:00
"LN";"LN14";2023-11-25;2023-11-27;"L7";"Vertical";"Point";"Range";"Open_Surface";"Open_Ground";NA;NA;NA;NA;NA;25,4;NA;25,5;96,1;NA;92,4;5,08;NA;NA;19;NA;NA;350;NA;NA;8,67;24,5;NA;24,6;90,1;NA;89,3;5,42;NA;NA;19;NA;NA;350;NA;NA;7,74;45255,3939583333;45256,7064814815;31,5005555555108;100;"0.02";"0.02";"13kHz";378529;9960571;"tried with 0.01 thresholds, only more noise";2023-11-25 09:04:30;2023-11-27 08:49:30
